Id,Descripción,Localización,Enlace,Precio,Última Actualización,Timestamp_Scrapeo,Superficie Construida,Habitaciones,Baños,Antigüedad,Conservación,Superficie Útil,Tipo De Casa,CP,CP_encoded,Planta_11ª,Planta_12ª,Planta_13ª,Planta_14ª,Planta_15ª,Planta_16ª,Planta_17ª,Planta_1ª,Planta_2ª,Planta_3ª,Planta_4ª,Planta_5ª,Planta_6ª,Planta_7ª,Planta_8ª,Planta_9ª,Planta_Bajo,Planta_Entresuelo,Planta_Más de 20,Planta_No especificado,Planta_Principal,Planta_Semisótano,Planta_Sótano,cluster
bfcba5e4-5958-4445-9de7-0ab4df732b8c,Chalet en venta en Boadilla del Monte - Parque Boadilla,Parque de Boadilla (Boadilla del Monte),https://www.pisos.com/comprar/chalet-parque_de_boadilla28669-37520155279_101800/,0.08997493734335839,2024-11-05,2024-11-05 23:52:42.741334,0.4156626506024096,6,5,0,2,0.14478648630522947,1,28660,0.45136842105263164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
a0f3e8d5-ca6f-45c5-a5d4-2d3d6b7bbd22,Casa pareada en venta en Cobeña,Cobeña,https://www.pisos.com/comprar/casa_pareada-cobena_centro_urbano-40842641310_101800/,0.03358395989974937,2024-11-05,2024-11-05 23:52:45.723079,0.360441767068273,4,3,0,2,0.14478648630522947,0,28863,0.18526315789473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
2efd9d2c-cdc9-45a6-91eb-6173f0e94ac7,"Piso en venta en Calle Joaquim Blume, Número 14",Zona Suroeste (Torrejón de Ardoz),https://www.pisos.com/comprar/piso-zona_suroeste-48377305315_525678/,0.012776942355889723,2024-11-02,2024-11-05 23:52:48.291304,0.10240963855421686,3,2,1,2,0.0921985815602837,5,28850,0.1031578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15c5ec6e-b28e-42d1-8fb9-497fa3158469,"Piso en venta en Avenida de Concha Espina, cerca de Calle del Segre",Hispanoamérica (Distrito Chamartín. Madrid Capital),https://www.pisos.com/comprar/piso-chamartin_hispanoamerica28016-26741080610_101800/,0.047619047619047616,2024-11-05,2024-11-05 23:52:50.925002,0.1405622489959839,3,2,5,2,0.14478648630522947,5,28036,0.43157894736842106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
a0676ed8-fa97-44ac-b242-aa947e8a2016,Piso en venta en Calle del Duratón,Lucero (Distrito Latina. Madrid Capital),https://www.pisos.com/comprar/piso-lucero28011-45892057041_104700/,0.010526315789473684,2024-10-17,2024-11-05 23:52:53.676227,0.0642570281124498,3,1,6,3,0.05876393110435664,5,0,0.09894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
77d80dc2-75f5-4ef8-a23a-7a53bdb35d1e,"Casa pareada en venta en Calle Calle Camilo Jose Cela, Número S/N",Villalbilla,https://www.pisos.com/comprar/casa_pareada-villalbilla_centro_urbano-40029955164_101800/,0.025010025062656642,2024-11-05,2024-11-05 23:52:56.562666,0.17168674698795178,4,3,6,3,0.14478648630522947,0,28810,0.1368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
8c29443d-d75f-419d-9efc-7febb35ca336,Piso en venta en Calle del Alcatraz,Opañel (Distrito Carabanchel. Madrid Capital),https://www.pisos.com/comprar/piso-opanel28019-48343888324_520820/,0.011278195488721804,2024-11-05,2024-11-05 23:52:59.172931,0.06927710843373494,3,1,5,2,0.06180344478216818,5,28019,0.09473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ca55c355-f550-4a32-9573-acf27604814b,"Casa unifamiliar en venta en Calle de Soto del Henares, 30",Villalbilla,https://www.pisos.com/comprar/casa_unifamiliar-villalbilla_centro_urbano-20842409004_995907/,0.015538847117794486,2024-11-05,2024-11-05 23:53:02.050468,0.179718875502008,4,3,6,0,0.1529888551165147,0,28810,0.1368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
b9cb4405-44b2-4ec8-8e3e-0823b748a97f,Casa en venta en Calle del Carmen,Casco Antiguo Norte (Ciempozuelos),https://www.pisos.com/comprar/casa-casco_antiguo_norte-45834350690_992238/,0.01037593984962406,2024-10-18,2024-11-05 23:53:04.817984,0.24598393574297187,4,2,5,1,0.1762917933130699,0,0,0.09894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
939d2e39-0751-4565-933a-92bd1e64958a,Chalet en venta en Bonanza,Montepríncipe (Boadilla del Monte),https://www.pisos.com/comprar/chalet-boadilla_del_monte_monteprincipe28669-48351529839_102100/,0.08771929824561403,2024-11-05,2024-11-05 23:53:07.371046,0.5240963855421686,5,6,6,3,0.14478648630522947,1,28660,0.45136842105263164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
da70fd96-7350-4c2e-98fb-4507c6420fba,Chalet en venta en Calle de Emilio Llorente Navacerrada,Los Ángeles-Jarandilla (Torrelodones),https://www.pisos.com/comprar/chalet-los_angeles_jarandilla-37563963419_100500/,0.05954887218045112,2024-11-05,2024-11-05 23:53:10.302928,0.47088353413654616,5,6,1,3,0.353596757852077,1,28250,0.3242105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
ba776fb4-e561-4389-85d6-5213df08e63c,"Piso en venta en Calle del Príncipe de Vergara, cerca de Calle Jorge Juan",Recoletos (Distrito Salamanca. Madrid Capital),https://www.pisos.com/comprar/piso-recoletos28001-45865318562_100500/,0.09172932330827067,2024-11-05,2024-11-05 23:53:12.862821,0.17469879518072287,2,3,6,3,0.14478648630522947,5,28001,0.7442105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
da7ac068-0acc-4383-a819-f733948120c8,Chalet en venta en Calle de Guadarrama,Los Berrocales (Guadarrama),https://www.pisos.com/comprar/chalet-guadarrama_los_berrocales-44236727441_101800/,0.021047619047619048,2024-10-21,2024-11-05 23:53:15.570263,0.19578313253012045,3,2,6,3,0.14478648630522947,1,28440,0.11305263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
c1252816-13df-4b82-a91f-3bbb6d0ecbeb,Casa adosada en venta en Campodón,Castillo-Campodón (Villaviciosa de Odón),https://www.pisos.com/comprar/casa_adosada-castillo_campodon-43400843576_100500/,0.02706766917293233,2024-07-04,2024-11-05 23:53:18.227074,0.21084337349397586,3,3,6,2,0.14478648630522947,0,28670,0.2610526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
4cde970f-1d5a-4196-98da-4d1975908c35,Chalet en venta en Paseo de los Lagos,La Finca (Pozuelo de Alarcón),https://www.pisos.com/comprar/chalet-la_finca-43417694913_101800/,0.8521303258145363,2024-11-05,2024-11-05 23:53:20.883494,0.0008032128514056224,7,11,4,2,0.14478648630522947,1,28223,0.40631578947368424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
0c3d39d4-49a9-4121-84ba-e04311919e42,Piso en venta en Avenida de Burgos,Castilla (Distrito Chamartín. Madrid Capital),https://www.pisos.com/comprar/piso-castilla28036-45006524214_440000/,0.03007518796992481,2024-10-31,2024-11-05 23:53:24.276371,0.12248995983935743,4,2,2,4,0.11144883485309018,5,28046,0.3010526315789474,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
81e13a5a-0de0-46d2-b4dd-96aec24fb4a5,"Loft en venta en Calle de San Romualdo, 26",Simancas (Distrito San Blas. Madrid Capital),https://www.pisos.com/comprar/loft-san_blas_simancas28037-47594578648_991170/,0.008922305764411028,2024-10-30,2024-11-05 23:53:27.040581,0.0823293172690763,1,1,5,2,0.06484295845997974,4,28037,0.09010526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
c7a6cad7-78e1-42ce-b29e-274643f783cc,Chalet en venta en Prado de Somosaguas - La Finca - La Finca,La Finca (Pozuelo de Alarcón),https://www.pisos.com/comprar/chalet-la_finca-41734321204_101800/,0.29949874686716793,2024-11-05,2024-11-05 23:53:30.294631,0.7018072289156626,7,7,4,2,0.14478648630522947,1,28223,0.40631578947368424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
066336f3-f9bf-4ae7-b067-77424c90316c,Casa en venta en Calle de los Lirios,Navas del Rey,https://www.pisos.com/comprar/casa-navas_del_rey_centro_urbano-42577807508_527402/,0.018295739348370928,2024-11-05,2024-11-05 23:53:32.995756,0.3564257028112449,4,3,4,4,0.331306990881459,0,0,0.09894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
b9828c4d-eb01-4b9c-8a9f-68a6921fa4dc,Piso en venta en Calle de Tomás García,San Diego (Distrito Puente de Vallecas. Madrid Capital),https://www.pisos.com/comprar/piso-san_diego28053-42537824563_996584/,0.006015037593984962,2024-09-02,2024-11-05 23:53:36.050512,0.029116465863453813,2,1,5,3,0.14478648630522947,5,28038,0.07157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
2e52986a-6599-4ea0-b53e-95959c5d5241,Chalet en venta en Mataelpino,Mataelpino (El Boalo-Cerceda-Mataelpino),https://www.pisos.com/comprar/chalet-mataelpino-44212371876_516742/,0.020300751879699246,2024-10-29,2024-11-05 23:53:39.184363,0.2991967871485943,4,2,5,2,0.20871327254305977,1,0,0.09894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
59e13d86-f0fb-4346-bb15-64f843276312,Piso en venta en Calle de Luisa Fernanda,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),https://www.pisos.com/comprar/piso-moncloa_aravaca_arguelles28008-38417597757_524350/,0.03548872180451128,2024-11-04,2024-11-05 23:53:41.965330,0.12248995983935743,3,2,0,2,0.11550151975683892,5,28008,0.36631578947368426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
e353a5b2-3d5d-4f00-89e1-991ed16ead62,Chalet adosado en venta en Centro,Centro (Villaviciosa de Odón),https://www.pisos.com/comprar/chalet_adosado-villaviciosa_de_odon_centro-44215298017_990706/,0.03558897243107769,2024-11-04,2024-11-05 23:53:44.676287,0.2991967871485943,4,3,1,2,0.23606889564336372,1,28670,0.2610526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
09940f41-0a3b-49ff-a714-d0f2eda93e5d,Piso en venta en Paseo de San Francisco de Sales,Vallehermoso (Distrito Chamberí. Madrid Capital),https://www.pisos.com/comprar/piso-chamberi_vallehermoso28003-45049733830_100500/,0.05388471177944862,2024-11-05,2024-11-05 23:53:47.352642,0.179718875502008,4,3,5,3,0.14478648630522947,5,28015,0.38947368421052636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
a167f16e-a0c4-48f5-b86c-452071f97965,Piso en venta en Urbanización los Valles,Los Valles (Collado Villalba),https://www.pisos.com/comprar/piso-collado_villalba_los_valles-48374987507_992271/,0.011979949874686716,2024-11-05,2024-11-05 23:53:49.950405,0.08935742971887549,3,2,2,2,0.08510638297872342,5,28400,0.08376842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5d54f63e-89b6-4b01-a3bc-9ecc5f6c8b65,Piso en venta en Plaza de Valparaíso,Castilla (Distrito Chamartín. Madrid Capital),https://www.pisos.com/comprar/piso-castilla28016-31713777328_440000/,0.04837092731829574,2024-10-31,2024-11-05 23:53:52.783461,0.14457831325301201,3,3,1,1,0.12563323201621074,5,28046,0.3010526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
f9a8ee18-e066-4729-8cb6-8c52ae5e6635,"Chalet en venta en Avenida de La Cabrera, cerca de Calle de Luis Fernández Urosa",La Cabrera,https://www.pisos.com/comprar/chalet-la_cabrera_centro_urbano-45859710878_100500/,0.023809523809523808,2024-11-05,2024-11-05 23:53:55.450689,0.35742971887550196,5,4,6,3,0.14478648630522947,1,0,0.09894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
d9baa7dc-7fec-4397-9164-6113cbc711cc,"Apartamento en venta en Calle de Tablada, cerca de Calle del Cactus",Berruguete (Distrito Tetuán. Madrid Capital),https://www.pisos.com/comprar/apartamento-berruguete28039-48362618973_500564/,0.006616541353383458,2024-11-04,2024-11-05 23:53:58.061373,0.029116465863453813,1,1,5,1,0.028368794326241138,4,28039,0.14947368421052631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7c655a5f-efa9-4ccd-b67d-0035ae6ce460,"Chalet en venta en Avenida de La Cabrera, 27, cerca de Calle de Hontanilla",La Cabrera,https://www.pisos.com/comprar/chalet-la_cabrera_centro_urbano-45852928476_100500/,0.02300751879699248,2024-11-05,2024-11-05 23:54:01.667888,0.3403614457831325,7,2,6,3,0.14478648630522947,1,0,0.09894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
e3cc9223-c951-4e2e-8e9e-253bdb3908b9,Chalet en venta en Zona Noroeste,Guadarrama,https://www.pisos.com/comprar/chalet-guadarrama_centro_urbano-47501018800_100500/,0.02,2024-09-13,2024-11-05 23:54:04.356968,0.17469879518072287,3,2,5,3,0.171225937183384,1,28440,0.11305263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
50bc2121-b601-4edd-80bb-97544d9f6023,"Ático en venta en Calle del Cardenal Cisneros, cerca de Calle de Feijoo",Trafalgar (Distrito Chamberí. Madrid Capital),https://www.pisos.com/comprar/atico-trafalgar28010-47523977025_992099/,0.019047619047619046,2024-11-05,2024-11-05 23:54:06.887727,0.06124497991967871,2,1,5,2,0.06180344478216818,4,28015,0.38947368421052636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
f77cbe98-a4ca-46af-96a3-fabe65510061,Chalet adosado en venta en Calle de Virgo,Parla Este (Parla),https://www.pisos.com/comprar/chalet_adosado-parla_este28983-43382813327_998146/,0.0174937343358396,2024-11-05,2024-11-05 23:54:10.185958,0.27409638554216864,4,3,0,2,0.25227963525835867,1,28983,0.1296842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
3b98326f-5113-4c91-aa64-4dc656ad3e2c,Chalet en venta en Hortaleza - Conde Orgaz - Piovera,Piovera (Distrito Hortaleza. Madrid Capital),https://www.pisos.com/comprar/chalet-piovera28043-42584894465_101800/,0.2756892230576441,2024-11-05,2024-11-05 23:54:12.922886,0.0001506024096385541,7,9,0,2,0.14478648630522947,1,28033,0.2715684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
57649110-9fa2-43f0-ab19-8861d51a23a4,Piso en venta en Calle de Madrid,Centro-Parque de La Manguilla (El Escorial),https://www.pisos.com/comprar/piso-centro_parque_de_la_manguilla-48335046900_528919/,0.010521303258145364,2024-10-21,2024-11-05 23:54:15.569828,0.09939759036144577,4,3,6,2,0.08510638297872342,5,28280,0.11107368421052631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3ae61428-c5f2-4219-9c66-c202bb220419,Chalet adosado en venta en Calle de la Paz,Zona de la Estación-San Juan de Dios (Ciempozuelos),https://www.pisos.com/comprar/chalet_adosado-zona_de_la_estacion_san_juan_de_dios-47526822908_992238/,0.016090225563909773,2024-10-18,2024-11-05 23:54:18.240916,0.2590361445783132,5,3,2,2,0.22796352583586627,1,0,0.09894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
fefb97a9-02d6-4baa-aa8f-812c6f66d65c,Casa unifamiliar en venta en Calle de la Amargura,Navalagamella,https://www.pisos.com/comprar/casa_unifamiliar-navalagamella_centro_urbano-45010579994_280500/,0.019047619047619046,2024-11-05,2024-11-05 23:54:20.920362,0.17871485943775098,3,4,0,2,0.1580547112462006,0,0,0.09894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
aa7080bb-2968-41f1-9bcb-143d4b991163,"Piso en venta en Calle de Bravo Murillo, 297, cerca de Calle de Sor Angela de la Cruz",Valdeacederas (Distrito Tetuán. Madrid Capital),https://www.pisos.com/comprar/piso-valdeacederas28020-47519829544_521707/,0.018796992481203006,2024-10-18,2024-11-05 23:54:23.558141,0.07931726907630522,3,1,1,2,0.07497467071935159,5,28039,0.14947368421052631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3b0e77d8-4fbc-447f-8bc4-3243d52b6294,"Piso en venta en Calle de Pablo Picasso, cerca de Calle de la Constitución",Centro (Alcobendas),https://www.pisos.com/comprar/piso-alcobendas_centro28100-42560927279_100200/,0.011278195488721804,2024-11-03,2024-11-05 23:54:26.269708,0.07028112449799197,3,2,2,2,0.14478648630522947,5,28100,0.08589473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
83711064-7388-426a-af32-26239b1ed44e,Chalet en venta en Calle de Córdoba,Ribatejada,https://www.pisos.com/comprar/chalet-ribatejada_centro_urbano-44184172191_100500/,0.014085213032581452,2024-11-05,2024-11-05 23:54:28.999781,0.179718875502008,4,2,6,2,0.14478648630522947,1,0,0.09894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
edd5b155-70ef-4b7a-a7ce-d50ec11d1c12,"Ático en venta en Calle de Nuestra Señora de los Dolores, 18",Valdeacederas (Distrito Tetuán. Madrid Capital),https://www.pisos.com/comprar/atico-valdeacederas28039-4289932667_109700/,0.01893233082706767,2024-11-05,2024-11-05 23:54:31.688825,0.05923694779116465,1,1,6,0,0.14478648630522947,4,28039,0.14947368421052631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ed1fe579-1b8d-47de-8a4e-523e16a1ba3d,Piso en venta en Calle de Sta. Tecla,Canillejas (Distrito San Blas. Madrid Capital),https://www.pisos.com/comprar/piso-san_blas_canillejas28022-47534255079_100200/,0.014035087719298246,2024-10-24,2024-11-05 23:54:34.457419,0.08132530120481928,3,1,2,2,0.14478648630522947,5,28022,0.1345263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
345d805b-41a0-4a54-849e-3bd28fa2adb5,"Casa adosada en venta en Calle C del Cortijo, Número 11",Becerril de la Sierra,https://www.pisos.com/comprar/casa_adosada-becerril_de_la_sierra_centro_urbano-47591364861_100500/,0.01137844611528822,2024-11-05,2024-11-05 23:54:36.979094,0.05421686746987951,1,2,5,3,0.04559270516717325,0,0,0.09894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
d143d835-785b-437b-a3e3-9834bae1195b,Casa adosada en venta en Casco Urbano,Centro (Villaviciosa de Odón),https://www.pisos.com/comprar/casa_adosada-villaviciosa_de_odon_centro-43389644953_100500/,0.02857142857142857,2024-06-04,2024-11-05 23:54:39.541112,0.21787148594377506,4,4,6,2,0.14478648630522947,0,28670,0.2610526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
44ca1dfe-ad47-442e-be0a-dba27ced9b90,Piso en venta en Oeste,Oeste (Móstoles),https://www.pisos.com/comprar/piso-mostoles_oeste28935-48377191714_100200/,0.011027568922305764,2024-11-04,2024-11-05 23:54:42.188272,0.0823293172690763,3,1,2,2,0.14478648630522947,5,28931,0.07789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0f556f27-f26e-47b9-8dc0-0c22596c0876,Piso en venta en Avenida del Plantío,Casco Antiguo (Coslada),https://www.pisos.com/comprar/piso-coslada_casco_antiguo28821-48333639139_528947/,0.021553884711779447,2024-10-18,2024-11-05 23:54:44.763068,0.14457831325301201,4,2,0,2,0.1408308004052685,5,28821,0.09408421052631578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ef5d9675-800f-4d4a-adbf-6d540102e420,"Piso en venta en Calle de Manuela Malasaña, 9",Universidad-Malasaña (Distrito Centro. Madrid Capital),https://www.pisos.com/comprar/piso-universidad_malasana28004-48424464610_994129/,0.04486215538847117,2024-11-04,2024-11-05 23:54:47.326007,0.1325301204819277,3,2,5,1,0.12462006079027356,5,28004,0.36378947368421055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4e6e17d7-060d-4445-b21a-173a64fb8429,Piso en venta en Calle de Barceló,Justicia-Chueca (Distrito Centro. Madrid Capital),https://www.pisos.com/comprar/piso-justicia_chueca28004-48397500767_100500/,0.07614035087719298,2024-11-05,2024-11-05 23:54:49.879516,0.21084337349397586,4,4,1,3,0.16109422492401215,5,28004,0.36378947368421055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
226e1bf2-4312-4db7-8b02-6920184b94e8,"Piso en venta en Calle del Fuego, cerca de Calle de Fayón",Centro (Alcobendas),https://www.pisos.com/comprar/piso-alcobendas_centro28100-48372938401_100500/,0.011779448621553884,2024-11-05,2024-11-05 23:54:52.443024,0.08935742971887549,3,1,5,2,0.0800405268490375,5,28100,0.08589473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
b047ea2e-3a84-479e-b0fc-e11ace0fdd24,"Piso en venta en Avenida de Canillejas a Vicálvaro, cerca de Calle del Butrón",Rosas (Distrito San Blas. Madrid Capital),https://www.pisos.com/comprar/piso-san_blas_rosas28022-45001328963_104700/,0.014035087719298246,2024-11-05,2024-11-05 23:54:55.012417,0.09939759036144577,3,2,6,3,0.08510638297872342,5,0,0.09894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
dc3aca8c-9b65-4318-8ecc-08d08dbde7dc,Apartamento en venta en Calle Convenio,San Diego (Distrito Puente de Vallecas. Madrid Capital),https://www.pisos.com/comprar/apartamento-san_diego28053-46670728370_440000/,0.010025062656641603,2024-10-31,2024-11-05 23:54:57.559976,0.071285140562249,1,1,1,2,0.06281661600810538,4,28038,0.07157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
